Name,year,month,CHLcal
Apple,1998,1,2.14164
Maquotketa,1998,1,1.44356
Wapsipinicon,1998,1,8.7734
Apple,1999,1,4.3502
BlackRiver,1999,1,1.59932
Cannon,1999,1,4.47524
Chippewa,1999,1,3.22484
Cuivre,1999,1,2.0578
Dardenne,1999,1,3.85004
Maquotketa,1999,1,3.55828
Vermillion,1999,1,3.22484
Wapsipinicon,1999,1,3.18316
Apple,2000,1,1.88768
BlackRiver,2000,1,2.96512
Cannon,2000,1,21.77888
Chippewa,2000,1,2.2192
Cuivre,2000,1,74.90496
Dardenne,2000,1,10.25856
Maquotketa,2000,1,5.61728
Vermillion,2000,1,5.12
Wapsipinicon,2000,1,17.9664
Apple,2001,1,NA
BlackRiver,2001,1,NA
Cannon,2001,1,3.1931
Chippewa,2001,1,2.69816
Cuivre,2001,1,2.94563
Dardenne,2001,1,3.52306
Maquotketa,2001,1,2.69816
Vermillion,2001,1,NA
Wapsipinicon,2001,1,1.17904
Apple,2002,1,NA
BlackRiver,2002,1,1.26212
Cannon,2002,1,6.30056
Chippewa,2002,1,2.78892
Cuivre,2002,1,NA
Dardenne,2002,1,2.63624
Maquotketa,2002,1,2.44539
Vermillion,2002,1,7.98004
Wapsipinicon,2002,1,3.66683
Apple,2004,1,1.78238
Cannon,2004,1,11.64488
Chippewa,2004,1,3.83378
Dardenne,2004,1,3.91268
Maquotketa,2004,1,0.99338
Vermillion,2004,1,8.40998
Wapsipinicon,2004,1,4.46498
Apple,2005,1,16.94371
BlackRiver,2005,1,1.34407
Cannon,2005,1,14.609069999999999
Chippewa,2005,1,3.46647
Cuivre,2005,1,1.34407
Dardenne,2005,1,5.16439
Maquotketa,2005,1,4.31543
Vermillion,2005,1,7.18067
Wapsipinicon,2005,1,2.82975
Apple,2006,1,1.5053
BlackRiver,2006,1,2.0177
Cannon,2006,1,6.3731
Chippewa,2006,1,0.8648
Cuivre,2006,1,4.5797
Dardenne,2006,1,7.3979
Maquotketa,2006,1,9.9599
Vermillion,2006,1,2.1458
Apple,2007,1,0.3741
BlackRiver,2007,1,1.5761
Cannon,2007,1,7.2255
Chippewa,2007,1,3.1387
Cuivre,2007,1,12.9951
Dardenne,2007,1,7.2255
Maquotketa,2007,1,0.9751
Vermillion,2007,1,11.4325
Wapsipinicon,2007,1,5.0619
Apple,2008,1,20.88345
BlackRiver,2008,1,1.60545
Cannon,2008,1,6.42495
Chippewa,2008,1,2.5977
Cuivre,2008,1,6.42495
Dardenne,2008,1,15.0717
Maquotketa,2008,1,14.5047
Vermillion,2008,1,1.60545
Wapsipinicon,2008,1,7.27545
BlackRiver,2009,1,1.12412
Cannon,2009,1,2.39186
Chippewa,2009,1,3.6596
Cuivre,2009,1,2.251
Dardenne,2009,1,6.61766
Maquotketa,2009,1,NA
Vermillion,2009,1,0.98326
Wapsipinicon,2009,1,2.11014
BlackRiver,2010,1,1.2118
Cannon,2010,1,1.92705
Chippewa,2010,1,1.784
Cuivre,2010,1,1.784
Dardenne,2010,1,11.7975
Maquotketa,2010,1,NA
Vermillion,2010,1,1.92705
Apple,2011,1,NA
BlackRiver,2011,1,NA
Cannon,2011,1,0.8381
Chippewa,2011,1,NA
Cuivre,2011,1,NA
Dardenne,2011,1,6.87364
Maquotketa,2011,1,0.36161
Vermillion,2011,1,0.67927
Wapsipinicon,2011,1,1.47342
Apple,2012,1,NA
BlackRiver,2012,1,1.82468
Cannon,2012,1,8.14588
Chippewa,2012,1,3.56301
Cuivre,2012,1,2.29877
Dardenne,2012,1,2.4568
Maquotketa,2012,1,0.24437999999999999
Vermillion,2012,1,2.29877
Wapsipinicon,2012,1,2.61483
Apple,2013,1,2.27222
BlackRiver,2013,1,5.87244
Cannon,2013,1,7.11867
Chippewa,2013,1,4.2108
Cuivre,2013,1,26.366
Dardenne,2013,1,2.96457
Maquotketa,2013,1,3.10304
Vermillion,2013,1,6.42632
Wapsipinicon,2013,1,32.04327
Apple,2014,1,NA
BlackRiver,2014,1,0.44455
Cannon,2014,1,6.5403
Chippewa,2014,1,1.2683
Cuivre,2014,1,2.2568
Dardenne,2014,1,1.43305
Maquotketa,2014,1,0.11505
Vermillion,2014,1,0.44455
Wapsipinicon,2014,1,0.2798
Apple,2015,1,NA
BlackRiver,2015,1,0.73098
Cannon,2015,1,2.77428
Chippewa,2015,1,0.73098
Cuivre,2015,1,NA
Dardenne,2015,1,1.95696
Maquotketa,2015,1,1.13964
Vermillion,2015,1,1.68452
Wapsipinicon,2015,1,3.5916
Apple,2016,1,1.29967
BlackRiver,2016,1,NA
Cannon,2016,1,3.59482
Chippewa,2016,1,1.29967
Cuivre,2016,1,NA
Dardenne,2016,1,4.66589
Maquotketa,2016,1,NA
Vermillion,2016,1,8.64415
Wapsipinicon,2016,1,NA
Apple,2017,1,2.50515
BlackRiver,2017,1,NA
Cannon,2017,1,8.50437
Chippewa,2017,1,1.00535
Cuivre,2017,1,11.00405
Dardenne,2017,1,2.00522
Maquotketa,2017,1,1.33864
Vermillion,2017,1,6.67128
Wapsipinicon,2017,1,1.17199
Apple,2018,1,14.4093
BlackRiver,2018,1,2.4918
Cannon,2018,1,4.8753
Chippewa,2018,1,1.6973
Cuivre,2018,1,397.0405
Dardenne,2018,1,4.0808
Maquotketa,2018,1,2.9685
Vermillion,2018,1,3.2863
Wapsipinicon,2018,1,2.0151
Apple,1998,2,5.80656
Maquotketa,1998,2,11.04216
Wapsipinicon,1998,2,6.5919
Apple,1999,2,6.05908
BlackRiver,1999,2,2.4746
Cannon,1999,2,7.60124
Chippewa,1999,2,5.05876
Cuivre,1999,2,2.22452
Dardenne,1999,2,6.97604
Maquotketa,1999,2,2.80804
Vermillion,1999,2,2.30788
Wapsipinicon,1999,2,3.01644
Apple,2000,2,5.20288
BlackRiver,2000,2,2.05344
Cannon,2000,2,5.12
Chippewa,2000,2,4.78848
Cuivre,2000,2,44.73664
Dardenne,2000,2,5.36864
Maquotketa,2000,2,2.4264
Vermillion,2000,2,2.05344
Wapsipinicon,2000,2,11.99904
Apple,2001,2,NA
BlackRiver,2001,2,NA
Cannon,2001,2,4.18298
Chippewa,2001,2,NA
Cuivre,2001,2,3.1931
Dardenne,2001,2,5.83278
Maquotketa,2001,2,3.481815
Vermillion,2001,2,2.94563
Wapsipinicon,2001,2,2.78065
Apple,2002,2,NA
BlackRiver,2002,2,2.25454
Cannon,2002,2,7.522
Chippewa,2002,2,1.7965
Cuivre,2002,2,2.40722
Dardenne,2002,2,5.9952
Maquotketa,2002,2,2.5599
Vermillion,2002,2,2.9416
Wapsipinicon,2002,2,5.72801
Apple,2004,2,7.30538
BlackRiver,2004,2,1.54568
Cannon,2004,2,2.17688
Chippewa,2004,2,4.54388
Cuivre,2004,2,3.83378
Dardenne,2004,2,7.62098
Maquotketa,2004,2,13.38068
Vermillion,2004,2,1.30898
Wapsipinicon,2004,2,10.14578
Apple,1998,3,4.19225
Maquotketa,1998,3,3.9741
Wapsipinicon,1998,3,5.37026
Apple,1999,3,4.47524
BlackRiver,1999,3,5.85068
Cannon,1999,3,31.90068
Chippewa,1999,3,8.44873333333333
Cuivre,1999,3,11.778245
Dardenne,1999,3,18.18321
Maquotketa,1999,3,5.1838
Vermillion,1999,3,36.4299066666667
Wapsipinicon,1999,3,10.85228
Apple,2000,3,8.76672
BlackRiver,2000,3,3.048
Cannon,2000,3,12.82784
Chippewa,2000,3,2.30208
Cuivre,2000,3,8.76672
Dardenne,2000,3,17.552
Maquotketa,2000,3,5.57584
Vermillion,2000,3,26.17152
Wapsipinicon,2000,3,36.4072
Apple,2001,3,2.86314
BlackRiver,2001,3,2.3682
Cannon,2001,3,4.76041
Chippewa,2001,3,3.27559
Cuivre,2001,3,4.10049
Maquotketa,2001,3,4.18298
Vermillion,2001,3,3.1931
Wapsipinicon,2001,3,4.67792
Apple,2002,3,1.49114
BlackRiver,2002,3,3.78134
Cannon,2002,3,8.51442
Chippewa,2002,3,4.54474
Cuivre,2002,3,7.75102
Dardenne,2002,3,9.0488
Maquotketa,2002,3,4.35389
Vermillion,2002,3,10.27024
Wapsipinicon,2002,3,10.53743
Apple,2004,3,7.30538
Cannon,2004,3,5.01728
Chippewa,2004,3,2.88698
Cuivre,2004,3,14.5044
Dardenne,2004,3,2.35488
Maquotketa,2004,3,8.01548
Vermillion,2004,3,16.45778
Wapsipinicon,2004,3,10.30358
Apple,2005,3,1.55631
BlackRiver,2005,3,2.40527
Cannon,2005,3,8.87859
Chippewa,2005,3,4.42155
Cuivre,2005,3,52.91839
Dardenne,2005,3,14.82131
Maquotketa,2005,3,2.51139
Vermillion,2005,3,5.16439
Wapsipinicon,2005,3,2.93587
Apple,2006,3,5.0921
BlackRiver,2006,3,2.5301
Cannon,2006,3,21.3608
Chippewa,2006,3,4.1954
Cuivre,2006,3,22.5137
Dardenne,2006,3,16.493
Maquotketa,2006,3,2.0177
Vermillion,2006,3,7.2698
Wapsipinicon,2006,3,2.9144
BlackRiver,2007,3,0.6145
Cannon,2007,3,5.9033
Chippewa,2007,3,1.3357
Cuivre,2007,3,1.3357
Dardenne,2007,3,7.7063
Maquotketa,2007,3,2.6579
Vermillion,2007,3,1.5761
Wapsipinicon,2007,3,1.2155
Apple,2008,3,7.1337
BlackRiver,2008,3,3.34391
Cannon,2008,3,9.4017
Chippewa,2008,3,1.7472
Cuivre,2008,3,6.2832
Dardenne,2008,3,15.0717
Maquotketa,2008,3,7.1337
Vermillion,2008,3,2.5977
Wapsipinicon,2008,3,3.1647
Apple,2009,3,8.16712
BlackRiver,2009,3,2.251
Cannon,2009,3,4.78648
Chippewa,2009,3,5.20906
Cuivre,2009,3,9.0874
Dardenne,2009,3,8.1802
Maquotketa,2009,3,7.46282
Vermillion,2009,3,2.67358
Wapsipinicon,2009,3,3.94132
Apple,2010,3,55.14165
BlackRiver,2010,3,2.0701
Cannon,2010,3,7.93515
Chippewa,2010,3,3.64365
Cuivre,2010,3,6.79075
Dardenne,2010,3,17.8056
Maquotketa,2010,3,17.2334
Vermillion,2010,3,2.6423
Wapsipinicon,2010,3,5.07415
Apple,2011,3,2.10874
BlackRiver,2011,3,0.36161
Cannon,2011,3,1.47342
Chippewa,2011,3,0.20278
Cuivre,2011,3,1.94991
Dardenne,2011,3,10.84439
Maquotketa,2011,3,1.79108
Vermillion,2011,3,0.67927
Wapsipinicon,2011,3,1.94991
Apple,2012,3,2.93089
BlackRiver,2012,3,3.08892
Cannon,2012,3,6.40755
Chippewa,2012,3,3.08892
Cuivre,2012,3,7.67179
Dardenne,2012,3,6.72361
Maquotketa,2012,3,10.20027
Vermillion,2012,3,8.30391
Wapsipinicon,2012,3,8.778
Apple,2013,3,6.01091
BlackRiver,2013,3,2.54916
Cannon,2013,3,5.31856
Chippewa,2013,3,4.62621
Cuivre,2013,3,5.5955
Dardenne,2013,3,6.84173
Maquotketa,2013,3,2.8261
Vermillion,2013,3,3.37998
Wapsipinicon,2013,3,6.01091
BlackRiver,2014,3,NA
Cannon,2014,3,4.39855
Chippewa,2014,3,1.10355
Cuivre,2014,3,2.00944
Dardenne,2014,3,6.56368
Maquotketa,2014,3,38.8313
Vermillion,2014,3,0.11505
Wapsipinicon,2014,3,5.8813
Apple,2015,3,10.13016
BlackRiver,2015,3,2.50184
Cannon,2015,3,29.74584
Chippewa,2015,3,1.95696
Cuivre,2015,3,8.33926
Dardenne,2015,3,14.7884
Maquotketa,2015,3,24.0246
Vermillion,2015,3,5.09002
Wapsipinicon,2015,3,15.71518
Apple,2016,3,7.11405
BlackRiver,2016,3,3.44181
Cannon,2016,3,32.51371
Chippewa,2016,3,5.88997
Cuivre,2016,3,67.85902
Dardenne,2016,3,12.77542
Maquotketa,2016,3,1.91171
Vermillion,2016,3,12.92843
Wapsipinicon,2016,3,3.44181
Apple,2017,3,3.50502
BlackRiver,2017,3,2.00522
Cannon,2017,3,11.83727
Chippewa,2017,3,2.17186
Cuivre,2017,3,5.83805
Dardenne,2017,3,4.83818
Maquotketa,2017,3,11.83727
Vermillion,2017,3,16.17004
Wapsipinicon,2017,3,4.00496
Apple,2018,3,3.4452
BlackRiver,2018,3,5.0342
Cannon,2018,3,4.5575
Chippewa,2018,3,2.174
Cuivre,2018,3,4.5575
Dardenne,2018,3,3.763
Maquotketa,2018,3,1.6973
Vermillion,2018,3,2.6507
Wapsipinicon,2018,3,4.3986
Apple,1998,4,8.157355
Maquotketa,1998,4,7.95992
Wapsipinicon,1998,4,3.395345
Apple,1999,4,8.048745
BlackRiver,1999,4,11.872215
Cannon,1999,4,20.02635
Chippewa,1999,4,13.15971
Cuivre,1999,4,12.028275
Dardenne,1999,4,9.64836
Maquotketa,1999,4,18.93393
Vermillion,1999,4,28.60965
Wapsipinicon,1999,4,25.449435
Apple,2000,4,89.07058
BlackRiver,2000,4,17.60854
Cannon,2000,4,74.50814
Chippewa,2000,4,16.83702
Cuivre,2000,4,2.17814
Dardenne,2000,4,7.96454
Maquotketa,2000,4,87.38288
Vermillion,2000,4,118.7741
Wapsipinicon,2000,4,131.21486
Apple,2001,4,3.32107
BlackRiver,2001,4,13.761955
Cannon,2001,4,36.97667
Chippewa,2001,4,7.37504
Cuivre,2001,4,44.09024
Dardenne,2001,4,25.35019
Maquotketa,2001,4,3.741765
Vermillion,2001,4,12.04093
Wapsipinicon,2001,4,7.75749
Apple,2002,4,6.03365
BlackRiver,2002,4,4.47865
Cannon,2002,4,10.1544
Chippewa,2002,4,5.10065
Cuivre,2002,4,4.7119
Dardenne,2002,4,12.9534
Maquotketa,2002,4,17.735025
Vermillion,2002,4,25.0824
Wapsipinicon,2002,4,57.854025
Apple,2004,4,8.86984
BlackRiver,2004,4,2.35488
Cannon,2004,4,44.70212
Chippewa,2004,4,1.38644
Cuivre,2004,4,2.619
Dardenne,2004,4,12.83164
Maquotketa,2004,4,24.1888
Vermillion,2004,4,97.17396
Wapsipinicon,2004,4,66.0078
Apple,2005,4,25.1605
BlackRiver,2005,4,4.1859
Cannon,2005,4,19.9432
Chippewa,2005,4,6.2939
Cuivre,2005,4,34.8573
Dardenne,2005,4,12.0382
Maquotketa,2005,4,51.4578
Vermillion,2005,4,25.424
Wapsipinicon,2005,4,115.9626
Apple,2006,4,9.73326
BlackRiver,2006,4,12.15526
Cannon,2006,4,26.08176
Chippewa,2006,4,13.06351
Cuivre,2006,4,25.65791
Dardenne,2006,4,22.50931
Maquotketa,2006,4,26.92946
Vermillion,2006,4,33.89271
Wapsipinicon,2006,4,23.41756
Apple,2007,4,4.96388
BlackRiver,2007,4,19.3747233333333
Cannon,2007,4,30.85777
Chippewa,2007,4,18.481175
Cuivre,2007,4,3.423935
Dardenne,2007,4,4.450565
Maquotketa,2007,4,2.967655
Vermillion,2007,4,33.82359
Wapsipinicon,2007,4,5.134985
Apple,2008,4,10.70512
BlackRiver,2008,4,5.27893
Cannon,2008,4,27.4039
Chippewa,2008,4,7.01458
Cuivre,2008,4,7.52614
Dardenne,2008,4,17.24578
Maquotketa,2008,4,4.82218
Vermillion,2008,4,26.38078
Wapsipinicon,2008,4,8.84158
Apple,2009,4,5.3452
BlackRiver,2009,4,14.1904
Cannon,2009,4,37.324
Chippewa,2009,4,24.7933
Cuivre,2009,4,7.6699
Dardenne,2009,4,19.2367
Maquotketa,2009,4,22.4686
Vermillion,2009,4,26.4943
Wapsipinicon,2009,4,61.0246
Apple,2010,4,12.4203
BlackRiver,2010,4,24.43098
Cannon,2010,4,57.67266
Chippewa,2010,4,31.8315
Cuivre,2010,4,11.32842
Dardenne,2010,4,17.51574
Maquotketa,2010,4,14.05812
Vermillion,2010,4,78.60036
Wapsipinicon,2010,4,69.56202
Apple,2011,4,11.75135
BlackRiver,2011,4,1.541425
Cannon,2011,4,11.6023
Chippewa,2011,4,6.5346
Cuivre,2011,4,35.822925
Dardenne,2011,4,24.1225
Maquotketa,2011,4,6.609125
Vermillion,2011,4,10.782525
Wapsipinicon,2011,4,47.6724
Apple,2012,4,3.73044
BlackRiver,2012,4,16.07428
Cannon,2012,4,43.7962
Chippewa,2012,4,20.21188
Cuivre,2012,4,8.90244
Dardenne,2012,4,4.21316
Maquotketa,2012,4,7.17844
Vermillion,2012,4,60.41556
Wapsipinicon,2012,4,87.51684
Apple,2013,4,19.2491633333333
BlackRiver,2013,4,5.05989333333333
Cannon,2013,4,21.10918
Chippewa,2013,4,5.8039
Cuivre,2013,4,7.87649
Dardenne,2013,4,17.60172
Maquotketa,2013,4,6.17590333333333
Vermillion,2013,4,25.9452233333333
Wapsipinicon,2013,4,15.6354166666667
Apple,2014,4,13.822
BlackRiver,2014,4,2.50756
Cannon,2014,4,44.91892
Chippewa,2014,4,2.72104
Cuivre,2014,4,11.97184
Dardenne,2014,4,18.16276
Maquotketa,2014,4,3.21916
Vermillion,2014,4,25.99036
Wapsipinicon,2014,4,15.67216
Apple,2015,4,49.95871
BlackRiver,2015,4,11.7888
Cannon,2015,4,31.2862
Chippewa,2015,4,19.06283
Cuivre,2015,4,18.68788
Dardenne,2015,4,13.13862
Maquotketa,2015,4,33.31093
Vermillion,2015,4,50.70861
Wapsipinicon,2015,4,128.84819
Apple,2016,4,5.86644
BlackRiver,2016,4,4.36043
Cannon,2016,4,30.97926
Chippewa,2016,4,12.03132
Cuivre,2016,4,2.27525
Dardenne,2016,4,16.74564
Maquotketa,2016,4,11.3967
Vermillion,2016,4,33.88038
Wapsipinicon,2016,4,61.44102
Apple,2017,4,3.48844
BlackRiver,2017,4,2.63806
Cannon,2017,4,56.211815
Chippewa,2017,4,9.363775
Cuivre,2017,4,20.032135
Dardenne,2017,4,13.46104
Maquotketa,2017,4,13.22912
Vermillion,2017,4,29.77282
Wapsipinicon,2017,4,12.842585
Apple,2018,4,2.3117
BlackRiver,2018,4,7.5949
Cannon,2018,4,15.10695
Chippewa,2018,4,2.88955
Cuivre,2018,4,7.76
Dardenne,2018,4,8.4204
Maquotketa,2018,4,21.71095
Vermillion,2018,4,10.81435
Wapsipinicon,2018,4,23.2794
Apple,1998,5,13.911175
Maquotketa,1998,5,22.23165
Wapsipinicon,1998,5,82.53394
Apple,1999,5,6.332085
BlackRiver,1999,5,17.52939
Cannon,1999,5,29.897145
Chippewa,1999,5,21.547935
Cuivre,1999,5,16.866135
Dardenne,1999,5,50.575095
Maquotketa,1999,5,8.204805
Vermillion,1999,5,18.15363
Wapsipinicon,1999,5,15.50061
Apple,2000,5,1.74635
BlackRiver,2000,5,29.75998
Cannon,2000,5,6.80726
Chippewa,2000,5,25.32374
Cuivre,2000,5,14.66931
Dardenne,2000,5,6.32506
Maquotketa,2000,5,13.8152333333333
Vermillion,2000,5,175.1915
Wapsipinicon,2000,5,73.2222733333333
Apple,2001,5,42.48395
BlackRiver,2001,5,11.12305
Cannon,2001,5,29.93959
Chippewa,2001,5,17.509965
Cuivre,2001,5,21.410955
Dardenne,2001,5,39.57733
Maquotketa,2001,5,31.46939
Vermillion,2001,5,28.40979
Wapsipinicon,2001,5,77.43988
Apple,2002,5,7.1999
BlackRiver,2002,5,28.9699
Cannon,2002,5,27.33715
Chippewa,2002,5,14.1974
Cuivre,2002,5,18.16265
Dardenne,2002,5,21.855775
Maquotketa,2002,5,17.2555666666667
Vermillion,2002,5,60.76965
Wapsipinicon,2002,5,73.1059833333333
Apple,2004,5,4.64392
BlackRiver,2004,5,18.20208
Cannon,2004,5,40.036
Chippewa,2004,5,13.97616
Cuivre,2004,5,7.28512
Dardenne,2004,5,10.1024
Maquotketa,2004,5,19.21454
Vermillion,2004,5,125.96304
Wapsipinicon,2004,5,53.15396
Apple,2005,5,20.8918
BlackRiver,2005,5,6.5574
Cannon,2005,5,14.3043
Chippewa,2005,5,21.8931
Cuivre,2005,5,24.7389
Dardenne,2005,5,20.1013
Maquotketa,2005,5,40.9178
Vermillion,2005,5,60.9438
Wapsipinicon,2005,5,125.6594
Apple,2006,5,20.51116
BlackRiver,2006,5,20.5918933333333
Cannon,2006,5,14.33506
Chippewa,2006,5,33.22666
