fracYear,Apple,BlackRiver,Cannon,Chippewa,Cuivre,Dardenne,Maquotketa,Vermillion,Wapsipinicon
1998.0833333333333,2.14164,NA,NA,NA,NA,NA,1.44356,NA,8.7734
1998.1666666666667,5.80656,NA,NA,NA,NA,NA,11.04216,NA,6.5919
1998.25,4.19225,NA,NA,NA,NA,NA,3.9741,NA,5.37026
1998.3333333333333,8.157355,NA,NA,NA,NA,NA,7.95992,NA,3.395345
1998.4166666666667,13.911175,NA,NA,NA,NA,NA,22.23165,NA,82.53394
1998.5,22.90329,NA,NA,NA,NA,NA,10.013325,NA,13.93939
1998.5833333333333,62.2903266666667,NA,NA,NA,NA,NA,68.0371266666667,NA,106.540686666667
1998.6666666666667,16.52345,NA,NA,NA,NA,NA,103.4438,NA,285.18635
1998.75,7.3448,51.99668,26.48132,52.3586,42.13436,9.29012,45.5726,53.7158,237.20924
1998.8333333333333,3.047,8.34008,87.46484,33.99116,19.92152,12.3212,2.68508,47.47268,71.54036
1998.9166666666667,2.41364,8.29484,43.35584,24.03836,14.0554,9.19964,1.37312,49.14656,3.2732
1999,2.70242666666667,4.84838666666667,41.01748,11.31076,50.07316,4.39188,4.39188,25.28792,4.9754
1999.0833333333333,4.3502,1.59932,4.47524,3.22484,2.0578,3.85004,3.55828,3.22484,3.18316
1999.1666666666667,6.05908,2.4746,7.60124,5.05876,2.22452,6.97604,2.80804,2.30788,3.01644
1999.25,4.47524,5.85068,31.90068,8.44873333333333,11.778245,18.18321,5.1838,36.4299066666667,10.85228
1999.3333333333333,8.048745,11.872215,20.02635,13.15971,12.028275,9.64836,18.93393,28.60965,25.449435
1999.4166666666667,6.332085,17.52939,29.897145,21.547935,16.866135,50.575095,8.204805,18.15363,15.50061
1999.5,14.0559433333333,36.3931833333333,22.25188,9.334855,34.77402,24.246565,26.5962233333333,23.161255,11.180125
1999.5833333333333,37.63691,19.5029,16.84496,14.57285,39.16594,46.2252,45.01055,24.30434,79.89244
1999.6666666666667,16.11617,14.74433,13.0724,20.789,42.26687,23.87564,35.45054,39.85186,82.73615
1999.75,32.887975,22.87165,11.36965,23.06335,42.664675,41.418625,37.345,42.5209,95.2384
1999.8333333333333,7.583575,29.38945,11.2738,22.67995,30.300025,9.26095,9.883975,23.63845,90.973075
1999.9166666666667,23.015425,14.56465,8.9734,16.018375,67.777375,23.7343,67.92115,19.948225,80.95675
2000,4.23524,3.58672,18.2926966666667,8.55355,80.0299833333333,2.81088666666667,9.94859,6.44558666666667,34.06764
2000.0833333333333,1.88768,2.96512,21.77888,2.2192,74.90496,10.25856,5.61728,5.12,17.9664
2000.1666666666667,5.20288,2.05344,5.12,4.78848,44.73664,5.36864,2.4264,2.05344,11.99904
2000.25,8.76672,3.048,12.82784,2.30208,8.76672,17.552,5.57584,26.17152,36.4072
2000.3333333333333,89.07058,17.60854,74.50814,16.83702,2.17814,7.96454,87.38288,118.7741,131.21486
2000.4166666666667,1.74635,29.75998,6.80726,25.32374,14.66931,6.32506,13.8152333333333,175.1915,73.2222733333333
2000.5,12.4233,9.65624,19.455435,18.49455,5.21875,9.59005,16.06605,74.320405,5.906825
2000.5833333333333,19.2231,18.17075,22.54205,10.23765,29.34185,25.61815,49.57935,52.2507,142.429
2000.6666666666667,36.78925,20.3564,6.9187,16.87555,147.85265,12.4233,27.07525,74.99765,158.740425
2000.75,15.7718,10.7528,3.0092,5.9489,25.7381,8.5301,25.0211,24.806,107.94215
2000.8333333333333,2.6507,12.4736,1.862,23.372,0.1412,7.4546,5.1841,17.9945,91.7499
2000.9166666666667,NA,1.7903,0.2129,2.4356,NA,0.9299,2.25635,8.0282,71.4827
2001,5.50282,3.1931,4.18298,3.02812,4.67792,3.11061,6.57519,5.91527,16.22652
2001.0833333333333,NA,NA,3.1931,2.69816,2.94563,3.52306,2.69816,NA,1.17904
2001.1666666666667,NA,NA,4.18298,NA,3.1931,5.83278,3.481815,2.94563,2.78065
2001.25,2.86314,2.3682,4.76041,3.27559,4.10049,NA,4.18298,3.1931,4.67792
2001.3333333333333,3.32107,13.761955,36.97667,7.37504,44.09024,25.35019,3.741765,12.04093,7.75749
2001.4166666666667,42.48395,11.12305,29.93959,17.509965,21.410955,39.57733,31.46939,28.40979,77.43988
2001.5,5.19003,7.28063,17.6291,15.32944,21.18312,36.4445,27.55945,22.12389,163.291655
2001.5833333333333,26.30509,21.18312,17.10645,30.59082,41.35741,121.63645,170.55649,47.00203,106.06148
2001.6666666666667,2.15866,42.61177,3.30849,17.00192,63.20418,46.8975,15.52712,56.61879,231.549745
2001.75,33.61321,8.87192,5.2763,17.86097,19.83,46.71154,21.37098,32.50028,93.583015
2001.8333333333333,3.47849,10.24168,19.48756,10.15607,3.13605,7.75899,6.67459666666667,22.3983,175.89703
2001.9166666666667,8.52948,6.56045,37.8081,17.17609,83.01018,6.64606,9.72802,22.48391,100.13218
2002,5.15546,3.01794,7.36932,4.31572,9.4305,4.31572,2.71258,9.8122,20.00359
2002.0833333333333,NA,1.26212,6.30056,2.78892,NA,2.63624,2.44539,7.98004,3.66683
2002.1666666666667,NA,2.25454,7.522,1.7965,2.40722,5.9952,2.5599,2.9416,5.72801
2002.25,1.49114,3.78134,8.51442,4.54474,7.75102,9.0488,4.35389,10.27024,10.53743
2002.3333333333333,6.03365,4.47865,10.1544,5.10065,4.7119,12.9534,17.735025,25.0824,57.854025
2002.4166666666667,7.1999,28.9699,27.33715,14.1974,18.16265,21.855775,17.2555666666667,60.76965,73.1059833333333
2002.5,35.81914,25.76646,9.15046,10.56282,59.49694,106.6033,45.24872,21.61246,26.8465
2002.5833333333333,34.48986,58.33382,9.15046,25.43414,35.65298,14.71682,12.84752,17.87386,170.5749
2002.6666666666667,4.74722,25.76646,18.62158,20.44934,38.4777,15.46454,64.4402,42.29938,183.4523
2004,NA,2.37413,2.88698,6.43748,1.74293,3.99158,6.59528,13.93298,9.90908
2004.0833333333333,1.78238,NA,11.64488,3.83378,NA,3.91268,0.99338,8.40998,4.46498
2004.1666666666667,7.30538,1.54568,2.17688,4.54388,3.83378,7.62098,13.38068,1.30898,10.14578
2004.25,7.30538,NA,5.01728,2.88698,14.5044,2.35488,8.01548,16.45778,10.30358
2004.3333333333333,8.86984,2.35488,44.70212,1.38644,2.619,12.83164,24.1888,97.17396,66.0078
2004.4166666666667,4.64392,18.20208,40.036,13.97616,7.28512,10.1024,19.21454,125.96304,53.15396
2004.5,2.70704,NA,18.9064,12.49595,2.09076,8.42964,9.45954,19.87484,9.78889333333333
2004.5833333333333,15.36244,39.32224,40.16527,38.96728,40.96393,23.88148,59.08168,114.88435,69.58258
2004.6666666666667,25.65628,74.64076,8.35198,21.66298,44.91286,10.30426,58.88941,85.55578,134.98396
2004.75,11.1866,10.022,8.8574,19.727,14.13692,10.87604,48.22088,26.3264,131.56742
2004.8333333333333,NA,12.66176,8.93504,13.67108,26.09348,7.92572,4.43192,35.72084,50.86064
2004.9166666666667,NA,2.72384,4.74248,5.67416,3.73316,6.37292,NA,55.13084,10.64312
2005.0833333333333,16.94371,1.34407,14.609069999999999,3.46647,1.34407,5.16439,4.31543,7.18067,2.82975
2005.25,1.55631,2.40527,8.87859,4.42155,52.91839,14.82131,2.51139,5.16439,2.93587
2005.3333333333333,25.1605,4.1859,19.9432,6.2939,34.8573,12.0382,51.4578,25.424,115.9626
2005.4166666666667,20.8918,6.5574,14.3043,21.8931,24.7389,20.1013,40.9178,60.9438,125.6594
2005.5,74.6021466666667,28.34424,10.18935,38.2046933333333,26.2217333333333,30.3926266666667,100.147706666667,27.39811,194.047773333333
2005.5833333333333,111.89158,72.20134,1.76422,79.77382,11.36038,2.35174,170.12134,41.45446,286.71142
2005.6666666666667,22.58854,97.26886,40.73638,42.56422,11.36038,62.80102,88.26022,73.89862,121.2919
2005.75,112.90572,34.38513,14.6742,32.9849,35.24681,30.50757,61.52805,38.26269,107.19709
2005.8333333333333,34.49284,9.39641,9.50412,32.23093,40.09376,12.52,NA,21.99848,75.96119
2005.9166666666667,122.16878,2.71839,25.01436,11.01206,20.92138,3.79549,8.10389,23.82955,301.39822
2006.0833333333333,1.5053,2.0177,6.3731,0.8648,4.5797,7.3979,9.9599,2.1458,NA
2006.25,5.0921,2.5301,21.3608,4.1954,22.5137,16.493,2.0177,7.2698,2.9144
2006.3333333333333,9.73326,12.15526,26.08176,13.06351,25.65791,22.50931,26.92946,33.89271,23.41756
2006.4166666666667,20.51116,20.5918933333333,14.33506,33.22666,31.47071,9.49106,50.4632266666667,24.62856,84.3712266666667
2006.5,11.7751,65.15578,39.6329333333333,33.4816733333333,24.6720333333333,22.4279533333333,74.37726,108.840306666667,288.35456
2006.5833333333333,51.97296,82.49476,16.90536,69.63664,33.40012,3.78748,98.72976,132.62844,233.02568
2006.6666666666667,12.87908,79.6374,6.51496,30.41288,36.64712,57.5578,51.97296,99.1194,168.21556
2006.75,53.08453,18.43855,19.80873,15.50245,30.47656,6.49841,14.13227,60.42478,136.95912
2006.8333333333333,10.02173,18.43855,6.69415,15.69819,37.91468,10.31534,20.49382,35.76154,186.77495
2006.9166666666667,4.73675,9.43451,37.22959,26.85537,8.84729,2.29,12.46848,22.25548,36.34876
2007.0833333333333,0.3741,1.5761,7.2255,3.1387,12.9951,7.2255,0.9751,11.4325,5.0619
2007.25,NA,0.6145,5.9033,1.3357,1.3357,7.7063,2.6579,1.5761,1.2155
2007.3333333333333,4.96388,19.3747233333333,30.85777,18.481175,3.423935,4.450565,2.967655,33.82359,5.134985
2007.4166666666667,7.13121,10.952555,47.74013,17.8157666666667,13.1008733333333,16.4089033333333,20.02112,71.46669,52.816245
2007.5,8.03392333333333,52.806165,10.42552,29.740345,31.979745,31.755805,24.4476266666667,112.822085,55.1281966666667
2007.5833333333333,65.06688,45.69607,11.43325,39.369765,12.32901,34.83498,63.83521,81.582455,92.49953
2007.6666666666667,17.5916,13.416495,9.921655,21.06267,22.40631,29.12451,28.56466,33.04346,330.77169
2007.75,8.95548,74.87904,33.95334,43.02336,20.45892,11.49951,54.08436,64.4817,14.04354
2007.8333333333333,8.84487,9.28731,10.83585,32.62602,19.90587,11.27829,7.18572,5.8584,47.77959
2007.9166666666667,NA,2.87193,9.1767,6.52206,28.42284,9.61914,2.76132,23.44539,6.85389
2008.0833333333333,20.88345,1.60545,6.42495,2.5977,6.42495,15.0717,14.5047,1.60545,7.27545
2008.25,7.1337,3.34391,9.4017,1.7472,6.2832,15.0717,7.1337,2.5977,3.1647
2008.3333333333333,10.70512,5.27893,27.4039,7.01458,7.52614,17.24578,4.82218,26.38078,8.84158
2008.4166666666667,8.73196,20.95459,33.45127,21.39307,6.64918,17.99485,14.10334,37.06873,23.2018
2008.5,11.53204,35.90604,14.84778,14.17836,17.24252,38.69164,10.97492,36.95064,6.30904
2008.5833333333333,20.02812,40.363,17.79964,31.03124,98.1642,38.2738,37.02028,81.24168,87.85748
2008.6666666666667,34.93108,34.72216,10.4178,22.953,8.74644,31.3098,21.00308,82.42556,88.69316
2008.75,10.42668,29.8466,3.8622,25.06,10.42668,10.15316,42.8388,71.14812,NA
2008.8333333333333,3.72544,13.84568,4.27248,NA,64.99392,18.222,5.09304,20.54692,147.4602
2008.9166666666667,4.68276,6.5974,3.99896,12.47808,41.74472,4.81952,3.45192,19.86312,14.1192
2009.0833333333333,NA,1.12412,2.39186,3.6596,2.251,6.61766,NA,0.98326,2.11014
2009.25,8.16712,2.251,4.78648,5.20906,9.0874,8.1802,7.46282,2.67358,3.94132
2009.3333333333333,5.3452,14.1904,37.324,24.7933,7.6699,19.2367,22.4686,26.4943,61.0246
2009.4166666666667,6.3091,12.2626,113.869,24.3964,5.8555,10.2214,10.7884,125.2657,11.5255
2009.5,19.26455,18.2129166666667,10.1694366666667,22.4155666666667,7.977255,21.75028,15.8905266666667,129.123833333333,66.0272
2009.5833333333333,70.78388,72.9365,12.962115,34.129545,26.17681,22.46952,27.73148,75.44789,16.84879
2009.6666666666667,17.9251,22.529315,17.984895,33.890365,31.55836,34.6677,18.64264,71.202445,57.27021
2009.75,8.28469,30.50275,5.73089,23.60749,78.3865,27.3105,26.16129,36.50418,206.33188
2009.8333333333333,3.56016,7.90162,3.68785,14.41381,21.18138,7.13548,3.94323,21.05369,19.52141
2009.9166666666667,1.64481,5.6032,19.39372,17.35068,9.17852,9.56159,1.90019,63.0637,4.70937
2010.0833333333333,NA,1.2118,1.92705,1.784,1.784,11.7975,NA,1.92705,NA
2010.25,55.14165,2.0701,7.93515,3.64365,6.79075,17.8056,17.2334,2.6423,5.07415
2010.3333333333333,12.4203,24.43098,57.67266,31.8315,11.32842,17.51574,14.05812,78.60036,69.56202
2010.4166666666667,3.50328,23.46042,27.03936,15.99924,5.56572,21.57996,4.95912,101.65116,28.37388
2010.5,4.78310666666667,29.71832,6.434165,11.13779,18.7756666666667,21.130715,20.8547866666667,54.834635,41.7852066666667
2010.5833333333333,21.74983,6.52245,7.75199,13.80511,16.78438,17.35186,11.10958,63.74335,8.13031
2010.6666666666667,6.286,7.775635,11.747995,6.073195,25.58032,13.09576,15.79129,52.53562,115.38403
2010.75,3.36561,5.74544,15.68473,10.5051,68.60095,50.96221,4.62552,31.78358,206.35111
2010.8333333333333,13.72487,3.5056,8.68523,4.20555,11.62502,10.5051,2.66566,8.54524,31.36361
2010.9166666666667,1.12577,4.20555,49.56231,3.08563,21.56431,10.92507,2.52567,11.905,42.28283
2011.0833333333333,NA,NA,0.8381,NA,NA,6.87364,0.36161,0.67927,1.47342
2011.25,2.10874,0.36161,1.47342,0.20278,1.94991,10.84439,1.79108,0.67927,1.94991
2011.3333333333333,11.75135,1.541425,11.6023,6.5346,35.822925,24.1225,6.609125,10.782525,47.6724
2011.4166666666667,5.0441,13.0431166666667,43.64805,9.888225,6.012925,29.63735,8.86971666666667,44.24425,62.7761333333333
2011.5,9.85647,38.221515,15.7044966666667,16.1693333333333,7.08996666666667,15.1383166666667,12.341625,15.3841733333333,48.676305
2011.5833333333333,34.70802,33.765375,12.08454,22.71072,56.13177,36.93609,79.09803,19.96848,224.43675
2011.6666666666667,15.34095,23.91045,31.28022,11.827455,34.53663,50.4759,25.28157,39.592635,291.79302
2011.75,5.99684,19.87444,22.30302,12.24176,62.02765,NA,13.28258,168.19129,277.13045
2011.8333333333333,4.95602,10.854,22.9969,12.5887,32.36428,25.07854,5.12949,53.70109,177.55867
2011.9166666666667,7.03766,3.39479,13.80299,12.06829,9.1193,3.56826,7.73154,27.50712,221.09964
2012.0833333333333,NA,1.82468,8.14588,3.56301,2.29877,2.4568,0.24437999999999999,2.29877,2.61483
2012.25,2.93089,3.08892,6.40755,3.08892,7.67179,6.72361,10.20027,8.30391,8.778
2012.3333333333333,3.73044,16.07428,43.7962,20.21188,8.90244,4.21316,7.17844,60.41556,87.51684
2012.4166666666667,6.97156,17.5914,30.7397733333333,12.5343333333333,20.21188,17.31556,17.72932,28.1652666666667,35.10724
2012.5,80.63244,40.34484,19.2822,19.56492,23.523,35.04384,149.19204,18.5754,170.96148
2012.5833333333333,51.51228,71.01996,34.19568,27.97584,26.20884,49.10916,131.23932,62.32632,147.49572
2012.6666666666667,17.1618,54.41016,9.10428,21.0492,98.16108,9.24564,92.93076,48.82644,110.4594
2012.75,33.28084,22.98726,6.16958,19.50774,44.15434,8.48926,78.65958,38.21016,112.43992
2012.8333333333333,177.101,20.37762,10.22902,24.29208,35.89048,10.08404,22.98726,25.74188,137.08652
2012.9166666666667,27.62662,10.08404,8.1993,12.40372,14.43344,1.96516,5.58966,5.73464,72.7154
2013.0833333333333,2.27222,5.87244,7.11867,4.2108,26.366,2.96457,3.10304,6.42632,32.04327
2013.25,6.01091,2.54916,5.31856,4.62621,5.5955,6.84173,2.8261,3.37998,6.01091
2013.3333333333333,19.2491633333333,5.05989333333333,21.10918,5.8039,7.87649,17.60172,6.17590333333333,25.9452233333333,15.6354166666667
2013.4166666666667,2.29644,4.927035,12.260815,6.76048,97.2104333333333,62.87984,10.507085,28.044385,11.22452
2013.5,6.36407,2.8944,16.12756,7.09028,80.59887,27.98899,14.67514,15.48204,9.51098
2013.5833333333333,19.11309,46.70907,10.23719,34.60557,83.50371,22.34069,66.55881,23.63173,57.03739
2013.6666666666667,21.69517,35.00902,11.36685,17.49929,33.15315,33.15315,57.52153,77.61334,185.01173
2013.75,13.3704,21.37824,4.88448,13.72896,18.27072,21.01968,62.85168,38.94768,118.18944
2013.8333333333333,6.67728,11.81664,10.98,13.48992,NA,NA,13.60944,11.69712,75.40128
2013.9166666666667,3.68928,3.92832,25.80048,5.6016,14.80464,3.33072,4.04784,12.65328,4.28688
2014.0833333333333,NA,0.44455,6.5403,1.2683,2.2568,1.43305,0.11505,0.44455,0.2798
2014.25,NA,NA,4.39855,1.10355,2.00944,6.56368,38.8313,0.11505,5.8813
2014.3333333333333,13.822,2.50756,44.91892,2.72104,11.97184,18.16276,3.21916,25.99036,15.67216
2014.4166666666667,30.25996,2.64988,8.1292,3.64612,12.46996,8.27152,7.84456,7.48876,12.7546
2014.5,22.28319,9.553715,8.13695666666667,9.011645,9.65271,15.773095,82.55444,9.14101,226.04433
2014.5833333333333,13.7204,17.4484833333333,27.882275,9.16923333333333,18.295775,19.5304,7.692525,21.70915,27.010775
2014.6666666666667,29.84315,28.608525,11.323775,23.45215,14.8824,95.78665,188.6014,128.4679,197.3164
2014.75,36.93256,3.16267,4.33219,4.03981,11.78788,9.01027,46.28872,18.805,220.69339
2014.8333333333333,9.15646,4.62457,4.62457,10.17979,1.55458,6.96361,5.50171,21.14404,75.67291
2014.9166666666667,3.74743,5.50171,26.99164,3.01648,16.02739,2.28553,4.91695,5.94028,49.21252
2015.0833333333333,NA,0.73098,2.77428,0.73098,NA,1.95696,1.13964,1.68452,3.5916
2015.25,10.13016,2.50184,29.74584,1.95696,8.33926,14.7884,24.0246,5.09002,15.71518
2015.3333333333333,49.95871,11.7888,31.2862,19.06283,18.68788,13.13862,33.31093,50.70861,128.84819
2015.4166666666667,26.0369,15.68828,26.48684,20.41265,16.06323,26.56183,50.7836,47.33406,170.99257
2015.5,5.22651666666667,7.293945,18.965065,10.0387,4.97852,8.35858,9.17353666666667,39.4114733333333,19.2197433333333
2015.5833333333333,13.96117,27.1675866666667,11.36791,21.668915,18.28327,24.62235,80.95372,84.483435,169.98898
2015.6666666666667,28.51224,24.118105,9.567035,16.482395,36.14795,34.13097,73.02987,72.093415,224.01523
2015.75,33.04716,5.2181,69.07245,21.61056,39.33729,20.27629,151.79719,61.82927,328.68327
2015.8333333333333,15.51104,19.89507,31.33167,18.75141,169.1427,6.36176,18.75141,64.49781,196.78115
2015.9166666666667,0.83407,2.35895,18.5608,7.88664,72.88465,1.4059,1.97773,98.04517,143.79157
2016.0833333333333,1.29967,NA,3.59482,1.29967,NA,4.66589,NA,8.64415,NA
2016.25,7.11405,3.44181,32.51371,5.88997,67.85902,12.77542,1.91171,12.92843,3.44181
2016.3333333333333,5.86644,4.36043,30.97926,12.03132,2.27525,16.74564,11.3967,33.88038,61.44102
2016.4166666666667,2.18459,10.1879,37.56722,15.08354,NA,8.55602,10.12746,36.53974,74.67738
2016.5,21.56694,22.7805,28.9533,8.02365,36.2835,31.2681,47.34312,70.6197,107.50956
2016.5833333333333,13.7142,51.3297,14.38935,21.71955,29.24265,16.12545,87.0162,17.86155,214.716
2016.6666666666667,45.5427,25.4811,17.66865,11.5923,12.5568,26.4456,69.4623,19.887,159.3537
2016.75,33.68147,13.98551,19.82135,11.79707,15.2621,22.73927,33.86384,17.45054,24.92771
2016.8333333333333,2.13146,0.6725,13.62077,3.95516,34.22858,6.50834,NA,11.79707,NA
2016.9166666666667,0.85487,3.22568,51.7361,2.86094,1.40198,2.86094,8.69678,16.53869,6.1436
2017.0833333333333,2.50515,NA,8.50437,1.00535,11.00405,2.00522,1.33864,6.67128,1.17199
2017.25,3.50502,2.00522,11.83727,2.17186,5.83805,4.83818,11.83727,16.17004,4.00496
2017.3333333333333,3.48844,2.63806,56.211815,9.363775,20.032135,13.46104,13.22912,29.77282,12.842585
2017.4166666666667,1.81345333333333,6.50341,29.5409,7.48263333333333,2.17422,6.50341,43.35308,17.7902333333333,36.0862233333333
2017.5,20.15149,19.30539,24.758055,8.11802,26.09387,69.6126466666667,NA,55.68784,154.399915
2017.5833333333333,19.49341,36.791525,16.673065,17.42516,5.95576,234.02765,NA,74.67816,86.80565
2017.6666666666667,15.35691,51.739355,18.553295,28.424505,3.69948,22.31376,NA,43.654365,194.91887
2017.75,8.50313,22.47316,21.35556,10.92461,18.56155,2.35632,19.30662,31.78651,297.03072
2017.8333333333333,14.83621,17.07142,5.70913,10.3658,50.04068,3.10139,52.83468,28.4337,305.41273
2017.9166666666667,0.86619,1.23872,26.7573,1.23872,6.26793,0.30739,2.54259,8.50313,2.91512
2018.0833333333333,14.4093,2.4918,4.8753,1.6973,397.0405,4.0808,2.9685,3.2863,2.0151
2018.25,3.4452,5.0342,4.5575,2.174,4.5575,3.763,1.6973,2.6507,4.3986
2018.3333333333333,2.3117,7.5949,15.10695,2.88955,7.76,8.4204,21.71095,10.81435,23.2794
2018.4166666666667,77.5973,16.75795,17.9962,14.5841333333333,31.2592333333333,25.2055666666667,58.7208666666667,28.0673,37.2028333333333
2018.5,4.20825,91.84825,13.28525,12.81575,31.59575,23.61425,14.69375,13.75475,25.02275
2018.5833333333333,66.2605,63.287,5.8515,20.8755,18.9975,17.902,156.4045,7.49475,56.2445
2018.6666666666667,15.711,21.73625,12.81575,23.6925,75.9635,27.7615,109.611,110.78475,136.6855
2018.75,12.2373,17.4359,27.986,17.283,59.7892,96.1794,4.7452,16.5185,6.7329
2018.8333333333333,3.9807,2.4517,20.341,7.9561,22.3287,12.3902,1.6872,14.5308,2.2988
2018.9166666666667,12.2373,3.2162,66.8226,5.3568,6.2742000000000004,13.7663,11.167,23.5519,7.1916
