"","ï..Month","Year","Apple","Cannon","Chippewa","BlackRiver","Cuivre","Maquotketa","Vermillion","Wapsipinicon"
"1",1,1998,3.028075668,11.59255152,112.2534597,18.7439254,26.13827609,16.0245947,NA,27.47190821
"2",2,1998,5.534932149,20.50847598,199.4315037,50.18048571,54.4300353,24.99770745,2.542448278,47.6228677
"3",3,1998,11.5176489,43.39145655,390.8272867,97.93975057,78.05949753,51.95684585,4.436610413,106.5352836
"4",4,1998,17.5838177,92.93588978,509.1274588,120.4598645,31.81775247,124.1788103,7.966472778,197.0852507
"5",5,1998,6.064372356,41.60749523,126.7772615,26.53927917,6.847196141,52.16693858,4.791941163,71.46806645
"6",6,1998,9.08498821,68.19829279,168.3153348,95.19840581,40.51008042,99.15615703,7.626670622,157.8569796
"7",7,1998,4.948140541,44.65201294,114.4000593,62.63777761,49.54808702,39.30560965,6.698304336,95.59310611
"8",8,1998,4.500551679,19.68203512,91.82879243,28.3762204,3.061873194,35.2069745,4.114163743,31.97702712
"9",9,1998,3.836932683,10.66412434,81.30710487,16.96839824,0.710847233,30.78607537,2.501321429,33.4346444
"10",10,1998,6.516528451,15.3157601,102.2512188,19.57972909,13.6907385,61.14429233,2.627072586,90.23939525
"11",11,1998,5.226345945,20.7354827,129.4457437,26.87740668,38.60058107,42.73012117,2.442799947,79.35324247
"12",12,1998,3.212591893,13.32261949,100.6983595,17.78663331,2.275395623,21.72724218,1.57934927,32.0802466
"13",1,1999,4.536176099,10.09358556,98.37820496,13.61948966,47.42797733,9.289752502,1.079693949,12.35893327
"14",2,1999,7.080222908,16.76256173,138.2064366,29.47783707,59.19636733,42.80900381,1.602935768,60.15307221
"15",3,1999,4.548964352,25.80486806,173.518327,40.72510576,35.12567775,28.8402513,3.254610439,45.44397119
"16",4,1999,18.61171922,74.17125959,325.0113237,118.1945167,40.07777656,73.81541122,6.029600487,107.3114088
"17",5,1999,15.84281882,83.35200746,401.9804704,79.05880817,20.70509538,95.31815866,5.622264174,194.0891457
"18",6,1999,10.29034197,44.69908589,180.623724,25.49837626,7.312353627,68.93264301,3.143169947,125.4341905
"19",7,1999,4.314208561,34.64063758,224.8540291,87.51458387,4.068491411,47.42615043,3.700372408,117.2865508
"20",8,1999,2.418806748,23.19149718,229.1380939,42.86805162,0.405022248,31.81534707,2.324721742,84.42987451
"21",9,1999,1.682964569,18.4125574,131.9470651,20.24465736,0.072774295,20.32300064,1.749037211,22.92248714
"22",10,1999,1.653338449,10.45622388,103.4935062,17.52538756,0.164785777,17.98759157,1.326324546,13.59848038
"23",11,1999,1.533829178,9.059503048,111.2852062,18.57585122,0.150362454,17.24495944,1.503624542,12.10262014
"24",12,1999,1.463341545,8.745338295,90.50429478,17.44043702,0.859644649,13.62131655,1.298921146,10.44891631
"25",1,2000,1.530023151,8.699665962,105.1377102,16.49684663,0.206804323,7.700355319,1.244114347,9.079659771
"26",2,2000,3.636273651,17.57499717,169.9010782,30.58219408,1.216940884,19.68313756,2.313193415,19.7387948
"27",3,2000,2.517458987,24.69868416,279.8161145,55.22698489,3.661094201,19.27463791,2.169435811,31.33304723
"28",4,2000,3.609454017,12.39050808,239.6265929,35.93690973,1.107188693,30.98523719,1.801895324,43.95340893
"29",5,2000,4.587329112,24.28123904,166.3660396,35.95600076,5.966998943,30.93478449,2.107321438,51.81069439
"30",6,2000,15.41380337,77.37106323,345.8430836,156.3561867,37.01955715,96.73978614,2.909084017,185.2488089
"31",7,2000,6.730274969,52.38342544,291.6543831,49.45400201,15.58522686,48.44829724,4.154355396,103.7949436
"32",8,2000,2.237030863,12.49869061,209.1244777,34.35290188,24.55253269,18.93757609,1.712712482,23.12024834
"33",9,2000,3.047836564,8.22604387,200.6531734,44.4565049,1.121347116,18.25775864,1.386581577,15.45533475
"34",10,2000,1.787615108,8.413757158,102.4613115,17.34361168,8.142463501,15.33494248,1.24594124,11.62452216
"35",11,2000,1.631050351,12.49244872,190.4591087,21.68504095,4.659065123,14.31605363,1.584799502,14.4868986
"36",12,2000,1.342766586,9.073265645,104.0781121,15.53772764,0.968253456,4.760883977,1.127193175,8.266692246
"37",1,2001,1.594877863,8.622936443,108.5174629,16.46030876,31.1640596,10.08445109,1.004791323,12.64210173
"38",2,2001,13.31397437,5.932379314,120.1443339,16.30241298,64.81018213,40.53556558,0.899059872,66.14006259
"39",3,2001,12.937145,11.21347116,178.1769049,31.559582,21.35181561,82.81307393,1.099789775,142.6712334
"40",4,2001,9.680585879,166.5351491,928.1790292,258.1930052,30.80684106,57.37936969,9.530506593,157.8664185
"41",5,2001,7.732325952,71.99786551,370.5761743,86.66781882,9.47883596,56.24091067,4.163489863,143.8130417
"42",6,2001,8.142037226,79.85350676,353.5547048,80.86347428,47.29668459,54.36834503,3.886959112,101.7896237
"43",7,2001,2.999758822,16.94352204,157.8801202,23.84278464,2.159387897,24.62743532,1.447812951,40.73606712
"44",8,2001,2.323808296,9.679794225,200.574617,28.58905347,5.925528464,21.1344153,1.122625942,22.76583103
"45",9,2001,6.720531538,9.27659887,116.4483112,37.79921432,2.822245688,25.2142639,1.128898275,26.48285862
"46",10,2001,5.704474373,9.538209993,120.4836141,24.05561771,10.26622698,29.98662686,1.270878334,29.78292825
"47",11,2001,5.232953209,10.35358293,172.8460302,35.33753648,6.478894449,20.40795118,1.375538007,26.79056835
"48",12,2001,5.878942685,12.18811875,271.8325907,52.91596484,16.73799654,20.33880327,1.334454221,29.63677679
"49",1,2002,3.576143662,8.981920979,168.1655296,17.65692388,14.66629953,17.3637075,1.077593021,25.12891754
"50",2,2002,4.566496003,9.347593249,162.589264,41.69655628,22.00320094,18.36853145,1.137730434,30.68737094
"51",3,2002,6.37768456,19.46098103,207.9826693,72.61900924,17.48062868,25.14353268,1.533494248,42.38849212
"52",4,2002,10.10345078,20.06720513,857.2264512,145.3598114,44.68775915,32.24061738,2.672355181,53.67930177
"53",5,2002,5.693513013,14.73115424,521.5506378,94.29509841,155.7636643,40.19622014,2.159570587,73.68774182
"54",6,2002,27.52208688,49.31661964,358.8877109,144.6235734,27.4258096,171.7511122,5.660820758,150.6550616
"55",7,2002,3.854196825,20.55437668,206.4663479,39.36589713,3.677536241,46.78673777,2.371764245,55.08996789
"56",8,2002,17.26240627,33.67147067,258.0212772,57.47589056,1.525638607,59.403263,5.341744706,40.1112696
"57",9,2002,3.982292494,18.72781829,376.198743,44.14218791,0.361606128,28.90678067,4.676810346,16.00184988
"58",10,2002,6.413308979,42.30354158,551.7217809,86.30244016,0.296221616,37.50063906,7.450984382,29.11245841
"59",11,2002,3.049158017,18.6353166,229.9233536,30.20746781,0.385939738,24.02401246,2.907762564,18.19357379
"60",12,2002,2.580669496,13.39386833,169.6727165,15.23629024,3.10638545,18.51921753,2.032418812,15.24177092
"61",1,2003,1.817393469,10.10546037,122.283104,12.17624394,0.932629037,15.72407075,1.500336134,11.08650208
"62",2,2003,1.746744895,8.932953713,97.79425157,11.05368324,14.77825873,17.44014342,1.270819612,9.345570618
"63",3,2003,3.141982466,14.80422997,232.3808296,59.14567104,27.65761192,19.16045708,2.12714323,21.20566414
"64",4,2003,2.18237935,22.04277711,544.9577084,143.57585,15.45627864,16.36996889,2.895114373,25.7683302
"65",5,2003,9.308021435,52.65380565,630.0041594,109.421775,81.32872311,49.21741933,5.133204834,116.5740624
"66",6,2003,3.119666964,24.27980797,257.9287146,40.67998149,39.88323983,25.19916158,2.063542984,45.2314426
"67",7,2003,2.876900246,14.47538917,163.5160861,19.14584193,2.341072437,49.12059398,1.758384815,56.06370202
"68",8,2003,1.273435985,6.94858872,101.1824862,12.21917593,0.32766245,16.84943704,0.996661648,15.10840771
"69",9,2003,1.279827066,5.710564018,90.32130097,10.87366901,14.74410996,13.50807961,1.069716066,8.604545717
"70",10,2003,1.213148505,7.151373878,95.13546933,11.2436149,0.649551918,12.26484826,1.216893637,7.343197676
"71",11,2003,2.699067406,7.68424821,120.1295012,15.32318946,12.82347266,35.87272487,1.014781384,23.73518063
"72",12,2003,4.01542016,6.411482086,109.6866746,13.52723154,25.95028877,22.96222207,0.871336766,18.86176002
"73",1,2004,2.277222516,5.685291994,93.17155902,11.65557934,23.6345188,18.88733653,0.817991481,14.23880649
"74",2,2004,4.646794489,5.998289215,111.802721,12.654701,10.00170543,28.4926061,0.850481834,20.92810235
"75",3,2004,10.00680813,24.62560843,348.1693278,89.61825152,49.27222613,67.77774195,2.142032411,89.46296559
"76",4,2004,5.870082252,15.1693346,532.3189559,76.67258102,10.72075804,37.50566302,1.865702618,64.17541282
"77",5,2004,13.00656695,27.40796694,347.2467467,102.8093347,42.21676415,80.50844801,2.451964862,177.5466267
"78",6,2004,14.60110988,93.52393629,421.2414066,222.0135145,4.670297472,84.22374005,3.716114138,245.0728664
"79",7,2004,4.846747962,43.40789859,125.5623775,34.94938255,7.801656553,34.12179987,1.949295166,75.62424874
"80",8,2004,2.437623749,21.0796085,117.916829,16.68318974,16.00029702,24.9873333,1.285858859,25.0695435
"81",9,2004,1.662859608,41.89288641,121.837951,19.41780545,4.330117757,16.61443766,2.416842838,15.37793537
"82",10,2004,1.93997801,21.21753895,122.8494409,19.62540143,10.5073769,16.18536132,1.566195638,14.00222381
"83",11,2004,2.224382672,17.55738864,186.900625,35.45080386,79.71569811,17.13924321,1.66257644,17.36860967
"84",12,2004,2.465301183,13.42492552,125.0782508,26.25428382,31.76967473,14.45894713,1.370809398,19.10290994
"85",1,2005,5.26684208,6.293647467,112.1712495,15.40071064,122.2767099,14.51284049,1.026988077,17.05222219
"86",2,2005,12.54941952,17.11449968,126.9302638,34.43530782,35.70754327,56.85011435,1.384086998,70.15903214
"87",3,2005,3.943349219,30.49541665,194.2992384,38.42504708,5.332701584,20.72884499,2.106407991,31.38237335
"88",4,2005,3.014517075,53.85486621,480.0271796,149.6828499,6.288227684,21.45189891,2.778260187,37.87095033
"89",5,2005,2.853790046,40.86120931,195.3953744,51.71478249,1.851008306,18.49638136,2.583592525,49.44760789
"90",6,2005,1.930831364,38.92150533,194.7349525,41.46341424,3.364702075,16.78150705,3.099373225,35.89632225
"91",7,2005,1.361035519,13.53545256,113.9250671,15.38700894,0.305374352,13.52540465,1.880695322,38.45793116
"92",8,2005,1.586474154,8.210058554,79.79869996,13.36737838,0.493051102,11.78163498,1.573229177,18.21869357
"93",9,2005,0.877633458,26.02412571,81.64690703,20.92520557,0.913123906,9.895793911,1.886090747,13.09182197
"94",10,2005,0.815433831,27.13850018,287.8179072,21.37647867,2.03176113,8.939902433,3.212500548,22.45434572
"95",11,2005,1.202710855,15.80835143,158.5460228,23.10654664,4.67246843,9.681529773,1.772540193,10.53009127
"96",12,2005,0.984695496,15.72041697,158.3825159,22.39771203,1.991405057,8.125108014,1.535229797,12.46215274
"97",1,2006,1.350348193,16.010893,157.0580182,17.76653748,6.467019643,15.5623907,1.447538917,40.49583065
"98",2,2006,1.214893841,19.97247853,135.5871283,14.99781542,2.022935278,12.64043796,1.381255313,21.82419802
"99",3,2006,3.251413376,26.63336418,183.3835509,47.11101134,18.52168383,19.2782917,2.033880327,35.31110742
"100",4,2006,7.847542024,67.59231228,408.4044362,93.77595622,4.837083697,36.5315635,3.787850149,108.9537859
"101",5,2006,8.453035364,40.07107795,208.8047713,65.05567092,2.892702874,31.14487722,3.032003489,80.09100289
"102",6,2006,4.607717241,21.75111359,101.0156299,25.47100331,20.0440797,28.00913664,1.60915199,42.02220001
"103",7,2006,3.042234091,8.032849902,69.14791194,10.42425325,1.195007455,23.9770613,1.130481583,25.33901027
"104",8,2006,1.914218815,12.66219756,156.0897648,26.42692524,0.299062436,17.21390225,1.632877244,16.07574772
"105",9,2006,2.929283367,13.29570326,94.88031323,17.18171848,0.298233026,19.96526448,1.2903043,17.73672867
"106",10,2006,1.928925306,10.37401368,93.61914788,19.70030405,0.052769813,15.31667355,1.137058399,12.97550976
"107",11,2006,4.071773729,10.3403684,94.60658372,18.96473591,1.17464886,17.68859003,1.065657318,19.90013573
"108",12,2006,5.779376999,11.48933205,111.1481892,26.59956665,7.803574791,26.83066866,1.122443252,50.14548113
"109",1,2007,2.795238115,16.29223458,126.9964887,30.41777368,13.79121763,20.37260079,1.395289769,43.4060717
"110",2,2007,5.185016833,8.15626307,73.47210317,9.89066991,27.18336346,13.36555149,1.014653284,27.07697302
"111",3,2007,13.57655766,57.68872363,236.8841216,96.19506745,14.89648808,65.57633551,3.58509544,127.4532121
"112",4,2007,22.13999828,57.13490092,259.9958444,77.71086538,17.34312451,78.27720231,3.05972964,188.3164673
"113",5,2007,6.433404806,19.65371827,134.0574314,55.56313326,8.160184366,40.15694194,1.799672604,81.59818987
"114",6,2007,3.373291518,16.20006781,101.6857953,31.46945526,1.368553185,38.60246886,1.358547899,94.40836579
"115",7,2007,3.054017553,6.066199249,84.11016818,12.71609091,0.83813298,36.0820564,0.979397506,62.45234794
"116",8,2007,5.169011943,29.36731002,77.02182212,23.14673829,0.066681606,42.71002534,1.580445406,83.1610971
"117",9,2007,2.460073223,16.7720681,89.01872603,22.2476023,0.037189458,29.74495932,1.379124808,85.83780029
"118",10,2007,4.601487535,79.23236303,306.7627908,59.23701571,0.047225192,96.26814319,2.496723748,139.3828254
"119",11,2007,2.319338497,22.20229534,123.3198659,24.44687736,0.054349467,37.1762437,1.631522298,48.62002522
"120",12,2007,2.66141818,10.39959019,91.7283133,17.62038601,0.12996519,28.35338423,1.374189151,26.50639509
"121",1,2008,9.013891612,8.632984356,98.62483556,23.98710921,12.70403342,39.78334225,1.256445877,47.8052308
"122",2,2008,6.618330506,7.755886576,96.37492195,18.12278168,35.47554042,28.98278048,1.085706947,26.99669546
"123",3,2008,24.21455743,19.13762091,115.2130269,37.79842267,54.30257687,118.2913421,1.895858537,199.803668
"124",4,2008,28.92849025,58.04953506,755.0215137,246.5547813,50.55406582,174.6016747,4.089896511,268.6891162
"125",5,2008,13.74097806,43.91577493,345.8948456,68.36234781,68.10932309,137.6838146,3.102795605,205.7538595
"126",6,2008,39.94940686,52.26157166,304.679828,68.74386403,18.13863911,253.7189435,2.316412422,409.376648
"127",7,2008,9.256868423,14.43245718,122.6576171,34.16655876,96.86736419,97.07197625,0.947244183,104.662718
"128",8,2008,4.239305935,8.653080182,82.1919302,17.30159313,10.34597087,41.89979816,0.552909262,32.03640116
"129",9,2008,3.246809605,6.464736026,75.88914827,12.67084486,123.2925874,30.73888063,0.491769232,21.79453276
"130",10,2008,2.764180929,7.758815905,85.20630417,13.0604603,3.302475044,24.32873826,0.552817917,16.3004556
"131",11,2008,2.584384179,8.38461821,90.8121263,16.4039491,1.0855735,24.81122079,0.601166648,15.1882125
"132",12,2008,6.959276046,5.68620544,81.28761801,14.64254991,19.96977082,34.89183541,0.606985304,26.03779696
"133",1,2009,4.140653696,4.866843789,84.89573231,14.39591932,4.039626496,26.39130082,0.549072786,18.58498568
"134",2,2009,15.61674077,10.86456716,111.2953194,24.6204866,16.03309955,65.21875377,0.724001083,56.22410978
"135",3,2009,17.5555313,18.36667193,186.635421,66.08786564,27.53402258,83.66257932,1.454846491,126.1926557
"136",4,2009,9.348334881,13.37876601,197.1041286,60.18273748,52.47866748,43.30778484,1.186287084,50.83817818
"137",5,2009,7.434542342,12.25480035,173.8471678,61.23655044,47.69287686,43.39785068,0.852154386,121.5523467
"138",6,2009,4.771388613,12.5330362,111.7949095,51.14022454,36.2559462,39.9418557,0.803726489,70.87706646
"139",7,2009,7.601885769,6.765899389,63.5850218,16.71150659,31.21101076,44.5104287,0.560947592,87.38944168
"140",8,2009,20.6840861,8.247509867,94.815763,33.70709509,9.777898396,87.35290381,0.979945574,120.9860097
"141",9,2009,6.257079153,5.390583654,69.59336943,16.32938141,4.600449251,40.9367209,0.544061008,63.04273897
"142",10,2009,12.00999665,13.30526401,129.0334748,43.05074095,150.4794667,73.76081756,1.184009557,100.3512497
"143",11,2009,9.732500097,14.63886568,124.9905599,35.23087636,71.71902069,63.08993371,1.231122091,136.8364406
"144",12,2009,14.2762578,7.583434147,97.61090977,21.71536738,53.51883964,51.89655837,0.768482673,65.76815931
"145",1,2010,8.390007545,7.347764909,96.66092525,19.13670747,40.13501922,41.14985845,0.635850218,68.70945754
"146",2,2010,4.104931408,7.31889347,92.61631394,13.65276521,41.72285049,31.19707417,0.617711777,45.84295164
"147",3,2010,16.66126702,76.34221781,302.75276,103.3016824,27.00148318,88.60432573,3.650954944,203.5889909
"148",4,2010,14.92109025,26.56686526,136.5155163,30.53877491,65.40625174,72.58551619,1.974911255,104.2909452
"149",5,2010,18.10268585,16.64025775,138.1862103,31.11382003,43.26357402,76.99441872,1.888002895,129.5541394
"150",6,2010,12.43581503,36.34372842,279.1097157,61.79962941,14.63254158,98.36328534,2.858208083,196.1979895
"151",7,2010,37.70415497,27.61988657,299.0807045,105.2016515,36.30110091,171.8832575,2.896813384,231.9241062
"152",8,2010,24.21364399,22.80145545,395.8877812,62.27970652,8.080075094,77.13143572,5.15330066,117.8072154
"153",9,2010,5.713395702,116.8806151,542.7867501,214.0460978,51.20620279,49.30906848,4.321433924,45.34470999
"154",10,2010,6.447563229,64.29751019,336.0387562,70.38106493,1.935319432,33.56642431,2.876991591,39.26267766
"155",11,2010,3.383768752,36.84965607,286.7741421,72.82148991,2.312825622,25.62202649,2.452427675,29.04175764
"156",12,2010,5.602168348,27.38969801,169.6727165,32.58264226,5.079220137,25.93275059,2.176103971,25.52718028
"157",1,2011,4.955448115,26.66076758,174.0937984,33.70618165,13.21611161,30.36570722,1.956602739,31.04805187
"158",2,2011,12.05488603,29.18758939,173.5822682,39.03679535,63.26792532,57.7350158,2.144293191,83.10286488
"159",3,2011,14.55303214,101.3012343,303.3373659,126.6950513,43.92673629,84.21064731,6.524018714,150.5177401
"160",4,2011,13.58831068,71.12247913,671.8643748,216.0858546,21.28766121,72.36842037,5.635996322,112.3990022
"161",5,2011,6.824359975,58.94471278,365.4334696,71.44979751,39.63079666,57.01734033,5.354624304,99.56568562
"162",6,2011,4.7185305,73.44446053,224.3449348,53.66419945,38.34997698,54.79309772,4.47528879,89.45291768
"163",7,2011,28.72013307,72.17142037,195.1396093,64.24453028,5.361383809,68.39888568,6.259484562,53.31240069
"164",8,2011,9.985798855,26.0953441,279.0396848,52.79904367,0.449963823,42.63968995,2.353221278,36.30493738
"165",9,2011,4.328701915,11.14079126,116.8447471,25.36339929,0.258608319,30.4868607,1.094351723,24.78479173
"166",10,2011,3.12992497,9.615852959,121.2874471,31.06906115,0.159396442,24.5507058,0.928153148,15.8345978
"167",11,2011,6.039322604,9.019859463,116.4483112,24.16276501,0.591538921,36.08415733,0.918220938,32.79468367
"168",12,2011,7.386129669,8.330633512,122.3379108,24.65027149,4.741610252,40.40265909,0.785929504,40.6593376
"169",1,2012,4.39093808,7.415359962,110.3717596,18.13374304,1.212509093,28.45294992,0.687277265,38.32822173
"170",2,2012,5.227875705,9.211763057,112.6131687,19.11582418,8.044034899,33.17660307,0.844232599,35.36188246
"171",3,2012,10.0278174,21.82132719,390.1604706,101.6666129,7.165623646,46.09251831,2.201954511,55.63803588
"172",4,2012,5.173487832,13.40236339,210.488558,46.53496143,35.02161486,43.48523707,1.37874725,64.98716242
"173",5,2012,3.735722793,40.26838243,263.0817717,83.24148041,19.27290236,36.3149853,4.626424629,76.93047746
"174",6,2012,2.587404642,79.95261572,237.1630273,46.35467751,0.503275311,24.64887087,5.917182607,26.79717561
"175",7,2012,1.258364115,16.38266579,121.4153297,17.02938603,0.146105793,14.95494867,1.858498568,10.43978184
"176",8,2012,0.868413737,10.70285448,85.6904309,13.29247575,0.068682054,14.59779103,1.626574462,7.385216222
"177",9,2012,0.533206217,7.383145743,63.35422428,10.82930595,0.179509928,13.76104344,0.804764774,6.024881012
"178",10,2012,0.852885144,8.414670605,82.37461953,16.52516347,0.410292835,12.2146087,0.789217912,6.877339881
"179",11,2012,0.964566177,8.126934908,93.51166566,20.54575983,0.331845123,11.54289047,0.687910588,8.297779881
"180",12,2012,1.219359943,7.163248685,89.51777239,15.94969208,0.488785306,10.82891012,0.738978346,7.439109575
"181",1,2013,2.223329163,6.62340171,84.74958084,12.03191937,2.846939196,9.407587121,0.66544589,8.062080195
"182",2,2013,5.197354888,6.266113575,90.62402154,13.98245421,4.264517063,22.53110787,0.624588726,20.23440936
"183",3,2013,13.02602336,29.38101172,100.1959638,18.44066111,46.48712727,83.83796108,1.545825778,113.1166668
"184",4,2013,23.21320676,83.86506,699.6903959,282.375592,82.74560067,93.15109781,6.761119018,234.6805838
"185",5,2013,8.610148189,74.92089481,815.7078647,151.6047417,100.4590364,63.0917606,5.589197405,173.7284197
"186",6,2013,13.62889816,49.57335904,465.7838059,160.6886642,64.7870567,102.9317366,5.349996174,309.1255729
"187",7,2013,4.865564963,56.53230016,154.0253753,29.45134712,3.684935159,43.486455,6.28999368,122.4566588
"188",8,2013,2.322894849,14.43976475,94.80662854,15.47561326,0.770035532,21.43676615,1.620180336,22.31641528
"189",9,2013,1.639356626,7.933436458,106.3014413,13.2164161,0.303981346,17.79996963,0.935494215,10.56312759
"190",10,2013,1.626574462,11.13674164,167.8458232,24.43104429,0.136806906,16.51146177,1.119611568,9.84786841
"191",11,2013,1.826342201,9.126519585,164.9173133,22.23155608,0.325162347,16.48889964,0.777297433,11.76942525
"192",12,2013,1.7432216,5.993123517,124.0003837,15.46830569,0.947737445,16.30776317,0.652474947,8.600100276
"193",1,2014,1.736644784,5.489814409,120.8307238,14.12279876,4.639030193,15.71402284,0.59008654,6.971424887
"194",2,2014,1.461857194,5.243673158,116.0586175,17.65555371,15.30596338,17.96400507,0.537615555,7.868038027
"195",3,2014,10.88399095,26.32005198,127.7729184,30.45979223,3.142804568,63.47997543,1.673890999,73.39817923
"196",4,2014,6.920731642,62.73125366,719.2573367,194.6122461,50.33461026,55.83421377,5.214075311,107.0188014
"197",5,2014,4.445105467,74.82041568,853.341867,166.9506455,28.92794218,43.32477494,5.779376999,120.2826558
"198",6,2014,21.82568129,128.2186804,439.1754093,98.52374747,22.2754472,95.05021431,9.735331782,143.207731
"199",7,2014,13.99857002,41.02471626,245.9363779,44.34144107,3.70512233,101.100276,3.383223728,253.5179852
"200",8,2014,3.189390348,16.48588527,162.5386982,33.14258506,9.534921585,24.58724367,1.233061642,19.46463482
"201",9,2014,2.257135824,11.89307547,521.0866069,81.71769915,30.1868909,23.5747185,1.34004756,25.47477889
"202",10,2014,2.764637652,10.38132126,256.294863,60.4683418,58.09794773,23.84552498,1.408443401,27.58882938
"203",11,2014,2.702654207,9.033073992,223.0423599,43.90998977,8.836932636,17.97270239,0.942007089,18.59378522
"204",12,2014,3.062877986,8.343421766,228.9919425,56.82551654,14.1803459,17.54731028,1.032012033,18.77772293
"205",1,2015,1.871195477,7.366033842,179.510537,34.23963449,5.203814261,17.61673223,0.741170618,21.12984807
"206",2,2015,1.748666395,6.957853679,151.3434307,20.63286784,6.27086676,16.71907515,0.502624023,14.50732718
"207",3,2015,2.678865011,10.37127334,239.9989747,57.35988283,22.44301899,36.22820787,0.878918373,43.39328344
"208",4,2015,2.100638053,15.09287911,308.6819423,103.2054661,30.25560645,24.4959599,1.454353229,44.57637955
"209",5,2015,5.480131874,12.2401852,294.2668406,62.33359988,35.87232905,35.86739644,1.348247266,72.15315144
"210",6,2015,27.78354576,38.54394738,316.837194,105.064939,264.7039921,76.15343883,1.702031246,155.5727539
"211",7,2015,6.92940634,34.39126664,247.9916329,38.62783223,65.63753644,35.67465919,5.058119519,66.17007584
"212",8,2015,2.19291139,23.49110768,174.2673532,27.03345382,5.637336044,21.21479861,2.072427776,20.51144468
"213",9,2015,2.271577416,35.7755037,222.0890261,54.35229881,1.718549406,21.81246676,2.694442321,18.2473758
"214",10,2015,2.042101347,19.16502431,186.3157146,21.14537666,0.453160887,19.09742926,1.786427627,15.77339687
"215",11,2015,8.248697347,43.39934264,418.5135504,52.19738681,44.89239556,38.80446237,4.466133009,54.75722972
"216",12,2015,14.8243258,52.40443472,425.0449985,121.598019,118.9261875,82.4111574,4.621126638,187.2017579
"217",1,2016,5.171021526,26.44428072,210.7321438,38.05875497,12.58638149,34.5648215,2.257674758,71.14836012
"218",2,2016,6.939580246,23.48833584,185.162882,35.11581883,4.792382137,53.48271125,2.258512609,68.69276352
"219",3,2016,9.282444929,40.60270391,602.3632635,170.8419283,11.93966125,51.0708026,3.273244751,106.3434598
"220",4,2016,7.906063506,33.70743002,422.4967868,95.43721121,13.10031703,49.47896955,2.438929978,82.94948196
"221",5,2016,6.559460444,23.69663318,290.2842131,42.30080124,21.72084806,40.17338398,1.651420211,65.91431077
"222",6,2016,7.440723331,39.52842974,473.7408397,77.9845949,3.154213517,63.84504961,2.904270153,114.0319403
"223",7,2016,5.231309005,39.23710115,245.6075371,39.42161738,29.97657894,50.83330647,1.852104442,85.5260105
"224",8,2016,3.859768849,83.89185443,267.1831472,91.38120357,27.3334297,42.34738702,3.321748768,97.58350637
"225",9,2016,5.140357121,133.1552506,393.2077287,156.2712362,24.7186247,80.74076795,3.964358492,178.5093995
"226",10,2016,4.880545489,84.84092551,312.8372111,52.71500658,0.838452687,48.13863883,3.318734394,136.633351
"227",11,2016,6.756399544,42.38088007,208.4308672,40.72151287,5.413992247,41.80510419,2.438646809,63.68458748
"228",12,2016,5.040398654,34.98043973,215.6971416,64.19703106,1.079511259,37.74361587,2.327096704,53.25394011
"229",1,2017,8.65929162,30.58950165,NA,70.04308966,1.191591164,54.86160622,2.129700881,90.90621131
"230",2,2017,5.673482433,40.48803373,NA,130.1563617,0.848392944,NA,2.988236345,75.52507453
"231",3,2017,8.2794805,48.65016895,351.8779212,101.5387304,NA,NA,2.134816182,NA
"232",4,2017,11.80529325,47.38352292,425.9420031,169.4196918,NA,NA,4.251208145,NA
"233",5,2017,12.9919518,75.9896274,679.019707,154.5643088,NA,NA,6.748543902,NA
"234",6,2017,9.645661768,37.07902253,439.7228683,96.07905973,NA,NA,2.67075056,NA
"235",7,2017,29.11793909,27.69661609,215.3085115,64.63548545,NA,NA,2.018169044,NA
"236",8,2017,5.990383177,24.64387736,195.0573991,31.92587411,NA,NA,3.087449701,NA
"237",9,2017,2.870667495,16.60971818,196.4245243,27.55984268,NA,NA,1.621422623,NA
